Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100111,3,2,3.866,7.54,3,0,1,False,5.89,2,1,4,4.0,53.65,1
100112,3,2,3.203,12.06,1,0,3,True,10.76,6,0,6,3.257,82.36,2
100113,1,1,3.501,9.86,1,2,2,False,10.92,5,0,3,3.839,85.42,1
100114,4,3,3.151,2.86,0,0,1,True,8.7,4,0,1,3.176,66.09,1
100115,2,3,3.784,2.61,1,1,5,False,17.37,1,0,3,4.0,83.06,1
100116,1,3,3.242,1.25,1,0,3,False,8.2,2,0,3,3.705,78.83,2
100117,4,1,2.845,5.45,2,1,3,True,13.36,3,2,4,3.213,61.45,1
100118,3,4,3.915,0.73,3,2,2,False,14.34,1,1,6,4.0,62.09,1
100119,1,2,2.67,27.9,2,0,2,False,3.85,7,0,5,2.602,62.97,2
100120,2,2,2.074,0.9,1,1,5,True,14.29,1,0,3,2.217,69.58,1
100121,4,0,1.845,3.58,1,2,4,False,13.55,3,0,2,2.293,63.51,2
100122,1,2,3.667,0.51,4,0,2,False,18.15,4,2,9,3.99,69.49,1
100123,0,0,3.684,18.48,0,0,1,False,15.63,4,0,4,4.0,88.85,2
100124,3,3,3.856,3.16,1,1,3,True,6.88,5,2,6,4.0,93.35,2
100125,3,3,3.446,40.0,2,2,4,False,7.47,10,2,2,3.441,76.67,0
100126,0,3,3.086,18.06,3,0,2,False,7.85,7,2,8,3.137,86.56,2
100127,4,3,2.461,5.4,4,2,2,False,11.48,4,0,2,2.574,96.82,1
100128,4,0,3.887,23.63,1,0,2,True,17.8,7,1,9,4.0,76.58,2
100129,3,4,3.092,3.94,3,2,4,False,13.31,3,0,3,3.456,63.1,2
100130,2,1,3.537,8.18,1,2,2,False,14.57,2,2,1,3.576,96.33,1
100131,0,1,3.138,1.62,0,0,2,False,11.94,1,0,6,3.146,48.73,1
100132,3,2,3.505,20.76,1,1,3,True,7.95,5,0,4,4.0,84.53,1
100133,3,0,3.724,9.69,3,0,3,False,13.35,5,2,5,3.897,73.28,2
100134,0,1,3.416,16.77,4,1,3,False,11.01,6,0,1,3.717,67.16,0
100135,1,2,2.398,6.97,2,0,2,False,10.01,3,0,7,2.57,67.06,1
100136,0,2,2.686,6.39,3,0,1,True,8.27,3,2,7,2.785,56.59,2
100137,2,2,3.164,11.13,3,0,3,True,12.68,8,0,3,3.49,77.45,2
100138,2,2,2.767,0.44,1,1,4,True,19.67,4,1,2,3.137,82.77,2
100139,0,0,3.706,4.18,4,2,1,True,5.38,1,0,3,3.881,59.74,2
100140,1,4,3.393,1.9,1,0,2,False,9.32,3,0,2,3.384,64.37,1
100141,1,0,2.443,20.69,1,0,2,False,1.95,4,0,7,2.674,79.7,0
100142,3,1,2.407,25.2,3,1,4,True,10.34,4,0,4,2.794,69.1,0
100143,0,3,3.43,10.37,0,1,4,True,16.72,4,2,1,3.641,78.81,2
100144,0,3,3.668,16.61,2,0,3,False,6.92,5,0,7,3.645,76.77,0
100145,3,1,3.691,22.04,2,2,1,True,1.0,6,0,9,3.877,72.99,1
100146,3,3,2.425,9.16,1,1,3,False,18.86,5,2,4,2.992,90.32,0
100147,2,3,3.087,25.66,1,2,1,False,1.0,5,0,4,3.103,79.98,0
100148,2,1,2.107,6.05,1,0,2,True,6.14,1,2,1,2.313,76.11,1
100149,3,3,3.221,40.0,3,0,3,True,4.54,6,0,5,3.347,57.02,0
100150,3,2,3.641,35.18,3,1,4,True,7.77,8,2,6,3.84,51.53,0
100151,1,2,3.85,20.4,0,0,1,False,16.51,6,2,6,4.0,100.0,2
100152,3,3,2.784,4.43,0,2,5,True,17.4,4,0,3,3.092,82.92,1
100153,3,1,2.871,4.13,2,1,4,False,10.31,1,0,4,2.848,85.82,2
100154,0,3,3.518,4.01,1,2,3,True,18.42,1,0,3,3.728,88.31,1
100155,1,2,3.661,1.52,2,2,3,False,8.0,3,1,2,3.851,48.59,2
100156,3,3,3.441,1.35,0,1,3,False,20.18,3,2,4,3.745,72.69,2
100157,2,2,2.323,9.72,2,0,3,False,10.26,6,0,7,2.537,73.34,0
100158,4,4,3.033,3.86,0,0,3,True,6.6,5,2,5,3.487,71.38,0
100159,3,3,2.148,10.2,4,0,2,True,6.81,4,1,4,2.536,81.38,0
100160,2,2,3.491,2.92,1,2,3,True,13.33,4,2,9,3.739,77.34,2
100161,0,0,3.564,2.76,0,0,3,False,21.05,1,2,5,4.0,66.33,1
100162,2,3,3.518,9.49,2,0,2,False,7.24,5,1,5,3.553,76.08,1
100163,2,1,3.34,2.62,3,0,1,False,18.85,3,0,2,3.728,81.7,0
100164,2,2,3.565,1.41,1,2,2,False,15.13,4,0,5,3.905,80.89,1
100165,3,4,2.309,27.25,3,0,3,True,12.13,6,0,5,2.606,70.82,0
100166,4,4,3.365,9.67,1,0,2,False,7.94,3,2,5,3.286,66.16,0
100167,0,0,3.257,1.18,2,0,1,False,16.79,1,1,2,3.809,81.93,0
100168,3,0,2.258,2.67,3,2,1,False,6.45,3,0,1,2.326,82.16,1
100169,3,1,2.086,4.31,3,2,2,False,5.11,2,1,5,2.38,51.4,2
100170,2,4,2.331,5.54,2,2,2,True,11.0,3,1,4,2.493,83.54,0
100171,2,1,1.737,0.78,1,1,4,True,15.51,5,0,5,2.001,82.74,1
100172,3,3,3.3,2.54,1,2,1,False,9.31,4,0,7,3.386,80.69,2
100173,2,2,2.624,0.11,2,1,3,False,10.56,3,0,7,2.737,71.53,2
100174,3,2,3.478,9.82,0,0,2,False,1.21,3,0,6,3.476,41.99,1
100175,2,1,2.121,14.99,4,2,2,False,14.5,6,2,3,2.264,65.19,2
100176,3,3,3.174,2.13,3,0,2,False,18.79,5,2,8,3.084,69.25,0
100177,2,0,3.349,18.12,1,1,4,False,6.81,6,0,5,3.457,87.34,0
100178,0,3,2.576,3.46,2,0,3,True,18.16,3,0,4,2.835,73.45,1
100179,1,4,3.66,2.94,0,0,1,True,12.84,3,1,5,3.961,59.54,1
100180,3,1,2.866,2.7,3,1,5,False,10.94,2,2,2,3.515,66.28,1
100181,0,1,2.129,26.24,0,1,5,True,7.7,7,1,9,2.284,82.23,0
100182,3,1,3.676,3.1,3,0,1,True,17.08,4,1,1,3.814,57.65,1
100183,1,4,3.443,3.49,1,1,3,True,10.52,2,2,3,3.805,90.63,0
100184,1,2,3.295,0.75,2,0,2,False,18.67,1,0,5,3.413,64.58,1
100185,3,2,3.022,37.66,0,2,3,True,7.47,6,0,7,3.26,55.99,2
100186,2,0,3.43,0.36,3,0,2,False,12.55,4,0,1,3.995,90.27,1
100187,4,0,2.82,3.33,0,2,3,False,12.62,2,0,1,3.102,61.83,1
100188,2,1,3.396,1.87,0,2,3,False,3.97,2,2,1,3.49,55.3,2
100189,2,3,3.326,3.23,1,0,2,False,15.68,1,0,4,3.592,62.61,2
100190,3,3,3.414,1.7,0,2,4,False,10.47,3,0,8,3.882,89.38,1
100191,3,3,3.05,3.49,2,2,2,False,3.56,2,2,1,2.981,92.74,1
100192,1,4,3.668,3.05,2,2,2,False,5.0,4,2,9,4.0,96.43,0
100193,1,3,3.282,2.41,4,0,2,False,12.17,3,0,1,3.661,100.0,1
100194,2,0,3.295,7.69,0,1,5,False,16.64,1,0,2,3.857,95.01,1
100195,0,0,2.228,3.64,1,0,3,False,2.4,1,0,5,2.429,72.68,2
100196,0,2,3.781,2.11,0,2,2,False,18.87,2,2,3,3.95,87.3,2
100197,2,2,3.861,6.34,4,0,2,False,11.62,3,0,6,3.797,55.28,1
100198,1,3,2.816,2.64,4,2,1,False,13.48,1,0,6,2.921,76.6,1
100199,1,0,1.691,8.1,2,0,3,False,9.79,4,0,3,1.86,58.58,2
100200,4,3,2.874,14.28,4,1,3,False,13.68,6,1,5,3.035,87.08,0
100201,2,2,3.337,17.53,0,0,2,True,13.95,6,1,10,3.714,53.77,2
100202,3,3,2.773,1.76,2,1,3,True,18.52,2,2,2,3.061,68.03,1
100203,3,2,3.548,0.87,3,2,5,True,12.01,4,1,7,3.673,72.33,2
100204,1,2,2.053,10.51,4,0,3,False,11.46,4,0,6,2.172,73.12,1
100205,2,3,3.357,21.32,3,0,2,True,14.42,6,0,6,3.824,64.84,2
100206,3,2,3.219,8.15,3,2,3,True,17.99,4,2,6,3.384,62.0,2
100207,3,0,3.819,0.81,3,0,2,True,12.11,4,2,5,4.0,88.92,2
100208,2,3,3.166,9.73,1,0,1,False,11.08,4,0,4,3.424,88.19,1
100209,3,0,3.742,1.59,4,0,2,True,20.06,4,2,6,4.0,57.99,2
100210,3,1,2.358,6.03,2,1,4,True,10.87,2,0,7,2.525,73.66,2
100211,2,4,3.179,9.61,3,1,3,True,6.04,4,0,7,3.448,85.19,2
100212,2,2,3.37,16.68,2,1,4,True,13.45,5,0,6,3.544,60.04,2
100213,2,2,2.363,6.12,1,1,5,True,11.18,6,0,1,2.653,92.54,1
100214,3,4,3.741,4.25,4,0,2,True,1.29,4,0,7,3.903,89.03,2
100215,2,0,3.815,5.75,2,1,5,True,10.43,3,0,6,4.0,77.85,1
100216,3,2,3.098,1.91,3,2,2,True,3.43,4,0,6,2.936,62.17,1
100217,0,2,2.833,4.27,0,2,3,False,1.0,5,2,1,2.957,77.19,0
100218,2,4,3.528,7.89,1,0,2,False,23.25,2,1,2,4.0,98.6,0
100219,2,2,2.684,2.69,1,0,1,False,14.68,2,0,3,2.888,86.1,1
100220,4,4,3.212,3.85,0,2,3,True,21.18,4,2,6,3.444,67.65,1
100221,2,4,3.338,23.56,1,1,3,True,1.73,7,2,9,3.623,79.2,0
100222,2,3,3.392,0.18,3,0,3,False,19.52,1,1,1,3.568,75.24,1
100223,3,0,3.062,21.42,2,1,4,False,10.64,3,1,4,3.035,63.98,0
100224,0,1,3.041,11.81,2,0,3,False,16.54,2,0,3,3.149,70.08,0
100225,3,0,3.565,4.6,1,0,3,False,20.32,3,0,5,3.834,76.92,2
100226,3,3,3.337,3.82,0,0,3,True,10.28,1,2,1,3.378,90.81,2
100227,1,2,1.928,9.33,2,1,4,False,1.0,2,2,6,1.866,49.12,1
100228,0,0,3.225,15.05,2,0,3,False,4.01,5,2,7,3.354,59.27,2
100229,1,2,3.167,0.39,2,0,3,False,21.6,1,0,3,3.643,80.69,1
100230,2,4,2.767,6.3,1,2,1,False,8.96,1,2,1,3.032,65.87,2
100231,4,3,3.29,2.28,1,0,1,True,5.92,1,0,2,3.646,81.36,1
100232,2,2,3.653,1.27,1,2,5,False,10.97,4,0,3,3.572,72.15,0
100233,2,3,3.767,5.41,1,0,1,False,6.16,3,0,7,3.61,61.21,1
100234,0,4,3.609,0.76,3,1,5,False,14.74,2,1,1,4.0,89.33,1
100235,3,3,3.319,8.17,4,1,3,False,16.89,3,0,5,3.641,88.9,0
100236,2,4,3.133,0.26,1,0,3,True,17.54,1,0,5,3.209,81.38,2
100237,3,2,3.291,8.76,0,2,3,True,16.54,2,1,3,3.644,100.0,2
100238,3,1,3.857,3.97,4,1,4,False,23.89,1,0,4,4.0,100.0,2
100239,2,4,3.351,15.28,1,0,2,False,15.69,6,2,7,3.623,78.96,2
100240,3,2,3.381,7.75,3,0,1,False,14.91,3,0,4,3.474,74.92,2
100241,1,3,3.555,5.97,2,0,1,True,11.13,2,0,2,3.516,82.38,1
100242,1,4,3.511,9.68,2,0,2,True,17.3,6,2,3,3.704,86.02,0
100243,1,1,3.267,1.62,2,1,3,False,8.63,5,2,2,3.52,73.95,2
100244,0,0,2.689,0.67,0,0,2,False,7.05,3,1,5,2.993,87.34,2
100245,3,0,3.589,22.12,1,2,2,False,10.25,7,0,10,3.635,97.9,2
100246,1,1,2.81,19.75,4,0,2,True,3.18,6,0,1,2.358,64.94,0
100247,0,0,3.495,9.09,0,0,3,True,13.12,2,1,5,3.745,72.68,0
100248,1,1,2.312,14.79,3,1,3,True,10.08,2,0,2,2.989,100.0,2
100249,1,0,3.915,7.89,2,2,4,False,20.54,6,1,4,4.0,78.11,2
100250,4,2,3.803,5.74,0,0,1,True,14.62,4,0,3,3.803,67.41,1
100251,3,4,3.016,12.75,1,1,3,True,21.44,6,0,3,3.507,82.28,0
100252,0,0,3.332,9.12,4,1,4,True,12.83,5,0,3,3.72,83.47,2
100253,4,3,2.648,1.43,0,0,3,False,10.69,3,2,2,2.517,71.83,1
100254,0,1,3.878,11.89,3,2,3,True,8.94,4,0,3,4.0,64.07,2
100255,3,3,2.069,25.73,0,0,2,False,19.14,7,0,6,2.314,59.48,0
100256,2,0,2.738,7.93,1,2,2,True,1.7,1,1,1,3.103,63.11,1
100257,1,4,3.164,3.38,4,1,3,True,12.47,1,1,2,3.636,81.63,0
100258,2,2,3.416,2.17,2,1,3,False,17.99,1,0,2,3.669,89.41,1
100259,2,4,2.41,7.72,0,1,3,False,6.6,2,0,2,2.556,76.43,0
100260,3,2,2.637,0.74,3,1,3,True,14.56,2,0,3,3.132,84.55,2
100261,2,1,3.244,20.81,1,1,3,True,11.55,5,0,4,3.651,87.79,2
100262,1,1,3.506,5.02,2,2,2,False,10.09,1,0,3,3.88,71.93,1
100263,3,3,3.825,18.43,3,2,3,True,7.11,3,2,3,4.0,87.29,1
100264,2,1,3.05,22.73,2,0,3,True,11.01,7,0,6,3.284,68.48,0
100265,1,0,2.94,1.62,2,2,3,True,11.71,4,1,2,3.211,82.2,1
100266,2,3,3.293,10.66,3,0,1,False,6.63,3,0,2,3.37,89.83,1
100267,2,2,2.912,12.22,1,2,1,False,11.33,5,0,3,2.95,65.63,2
100268,2,1,3.302,23.57,0,2,4,True,21.08,6,0,7,3.567,89.24,2
100269,0,0,3.472,3.46,0,2,3,True,9.68,1,2,3,3.848,69.07,2
100270,3,4,2.579,0.86,1,0,1,True,8.9,1,2,1,2.888,80.34,1
100271,4,2,2.991,9.42,0,0,1,True,10.47,5,2,7,3.261,79.72,1
100272,4,4,2.736,1.3,3,0,2,True,12.06,5,2,4,2.995,73.16,0
100273,4,1,3.616,3.95,0,0,2,False,1.18,3,1,9,3.863,62.9,0
100274,1,3,2.807,21.31,2,0,3,False,10.46,8,1,8,2.855,53.56,2
100275,2,4,3.706,0.8,0,2,4,False,10.72,4,2,6,3.948,100.0,1
100276,2,3,3.517,6.5,2,2,3,True,11.21,1,0,1,3.78,72.34,0
100277,4,0,3.444,0.39,0,0,3,False,9.38,1,0,4,3.618,68.24,0
100278,2,0,3.586,14.54,1,0,1,False,13.74,4,1,7,3.908,62.69,0
100279,2,1,3.117,1.65,0,0,2,False,7.45,5,0,1,3.292,66.31,0
100280,4,0,3.302,0.33,2,0,2,False,14.09,2,0,3,3.335,93.98,2
100281,1,1,3.765,5.79,3,0,2,False,18.43,1,0,2,4.0,96.43,1
100282,0,2,3.84,5.69,0,0,1,False,19.29,5,0,4,4.0,72.7,2
100283,0,0,2.864,7.31,0,1,3,True,11.41,3,2,4,3.235,92.27,2
100284,3,4,2.235,21.44,3,2,3,True,10.15,4,1,8,2.594,80.69,0
100285,2,1,3.039,0.49,1,2,4,False,10.57,1,2,1,3.067,80.71,1
100286,3,4,3.112,11.33,4,2,2,False,3.98,4,2,6,3.159,71.73,0
100287,0,1,3.156,0.61,1,0,2,False,20.45,1,2,4,3.562,77.08,2
100288,2,1,2.672,13.55,1,1,4,True,2.54,6,0,6,2.911,86.59,2
100289,3,0,3.497,4.77,4,1,3,False,13.94,2,2,4,3.63,97.52,2
100290,2,2,2.628,4.78,3,1,5,True,6.4,2,0,1,2.598,76.75,0
100291,3,4,3.389,8.49,3,2,2,True,12.85,3,0,3,3.48,89.74,0
100292,3,0,2.857,29.02,2,2,1,False,12.57,6,0,6,3.225,52.64,2
100293,4,4,2.566,16.4,0,0,2,True,18.53,4,1,5,2.606,52.09,0
100294,0,1,3.531,6.12,0,0,2,False,19.66,3,0,1,4.0,69.49,2
100295,3,4,2.784,4.2,3,2,3,False,15.22,5,0,6,3.066,66.18,0
100296,2,0,3.325,24.66,0,1,4,False,10.07,5,0,3,3.598,100.0,2
100297,4,1,3.393,10.72,2,1,5,True,13.07,5,0,7,3.695,71.89,2
100298,3,4,2.788,18.58,4,1,3,False,1.6,6,0,7,3.016,77.43,0
100299,2,1,3.008,3.03,1,1,3,False,17.44,2,0,5,3.5,100.0,2
100300,3,1,2.37,0.12,3,2,3,False,17.41,5,1,8,2.714,84.97,1
100301,3,2,3.399,13.25,0,2,3,False,1.0,6,0,4,3.501,67.93,2
100302,2,4,2.869,3.16,1,2,3,False,11.71,3,0,2,2.939,73.9,2
100303,2,3,3.182,27.29,1,0,1,False,5.18,7,2,4,3.263,40.0,2
100304,2,2,3.062,6.81,1,0,3,False,10.36,1,0,2,2.96,55.25,1
100305,2,2,2.666,40.0,1,1,5,True,6.91,9,0,3,2.724,85.51,0
100306,1,1,2.437,0.41,2,0,1,True,14.34,1,2,1,2.435,79.28,1
100307,2,3,3.352,4.54,2,0,1,False,8.95,5,2,6,3.566,68.95,1
100308,0,0,2.707,7.94,1,2,1,True,7.12,3,0,5,2.981,74.44,2
100309,4,3,3.006,1.79,0,0,2,False,10.66,2,2,2,3.104,64.43,1
100310,3,0,2.75,3.31,3,0,3,True,13.96,4,0,3,2.685,91.55,1
100311,0,2,2.806,8.83,3,1,3,True,14.11,1,2,3,3.292,97.27,1
100312,3,3,3.695,11.05,3,2,1,False,17.08,4,0,5,4.0,84.26,2
100313,3,0,2.391,0.28,3,0,2,False,12.76,2,0,5,2.564,86.21,1
100314,1,3,3.795,2.26,2,2,2,False,25.64,1,1,1,4.0,68.26,1
100315,4,2,3.067,8.17,3,1,3,True,17.36,2,2,5,3.666,100.0,1
100316,2,4,3.91,1.92,1,0,2,False,11.83,3,2,4,4.0,88.9,2
100317,0,2,3.162,15.07,0,1,4,True,13.03,3,2,1,3.432,95.56,2
